flightNumber,airline,origin,destination,dayOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
6455,TestIndigo,Chandigarh,Delhi,"Monday,Wednesday,Friday",12:40,,27-10-2020,27-03-2021
2158,TestIndigo,Guwahati,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:50,18:55,25-10-2020,27-03-2021
2193,TestIndigo,Guwahati,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,20:10,25-10-2020,27-03-2021
2169,TestIndigo,Coimbatore,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:00,13:10,25-10-2020,27-03-2021
6985,TestIndigo,Coimbatore,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:10,,25-10-2020,27-03-2021
2074,TestIndigo,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:45,14:15,25-10-2020,27-03-2021
2172,TestIndigo,Jammu,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:10,17:40,25-10-2020,27-03-2021
2062,TestIndigo,Bhopal,Delhi,"Monday,Wednesday,Friday",09:10,10:35,27-10-2020,27-03-2021
6772,TestIndigo,Dibrugarh,Delhi,"Sunday,Monday,Tuesday,Friday",09:55,13:30,26-10-2020,27-03-2021
6672,TestIndigo,Agartala,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:20,18:10,25-10-2020,27-03-2021
7349,TestIndigo,Guwahati,Varanasi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:35,19:15,29-03-2020,24-10-2020
8049,TestIndigo,Kolkata,Varanasi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",13:15,,30-03-2020,30-06-2020
6068,TestIndigo,Hyderabad,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:05,,01-04-2020,24-10-2020
6116,TestIndigo,Hyderabad,Bhubaneswar,Friday,19:15,,27-03-2021,27-03-2021
2058,TestIndigo,Delhi,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:15,,25-10-2020,27-03-2021
6891,TestIndigo,Bengaluru,Bhubaneswar,Wednesday,10:15,,25-10-2020,27-03-2021
7941,TestIndigo,Allahabad,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:30,11:30,01-07-2020,24-10-2020
7743,TestIndigo,Hyderabad,Calicut,"Sunday,Tuesday,Thursday,Saturday",05:15,,26-10-2020,26-03-2021
7287,TestIndigo,Bengaluru,Calicut,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:15,07:40,25-10-2020,27-03-2021
7842,TestIndigo,Chennai,Calicut,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:25,13:20,25-10-2020,27-03-2021
7745,TestIndigo,Hyderabad,Nagpur,"Monday,Wednesday,Friday",11:00,,27-10-2020,15-12-2020
6336,TestIndigo,Pune,Nagpur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:45,06:00,29-03-2020,24-10-2020
7346,TestIndigo,Hyderabad,Aurangabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:50,13:25,25-10-2020,27-03-2021
2054,TestIndigo,Delhi,Aurangabad,"Monday,Wednesday,Friday",11:00,12:40,27-10-2020,27-03-2021
